product_ingredient_id,ingredient_id,product_id
1,200400200021640,110
2,201100200015,419
3,20040015100230,419
4,200400150831149,150
5,200400150831149,183
6,200400200072802,362
7,2004001508163,118
8,200400200022578,424
9,200400200022578,362
10,200400200022578,150
11,200400200022578,428
12,20190004553226,424
13,20190004553226,140
14,20190004553226,141
15,20190004553226,142
16,20190004553226,426
17,20190004553226,355
18,20190004553226,428
19,20190004553226,430
20,20190004553226,429
21,20190004553226,392
22,20190004553226,136
23,20190004553226,150
24,20190004553226,111
25,20190004553226,365
26,20190004553226,115
27,20190004553226,139
28,20190004553226,138
29,20190004553226,362
30,20190004553226,152
31,20190004553226,143
32,201000190041370,140
33,201000190041370,392
34,201000190041370,138
35,2018001205620,138
36,2018001205620,143
37,2018001205620,141
38,2018001205620,140
39,2018001205620,142
40,2018001205620,355
41,201600122305,151
42,202100187492,151
43,202100187492,428
44,200400200061442,138
45,200400200061442,140
46,200400200061442,141
47,200400200061442,342
48,20040020020281,151
49,20040020020281,419
50,20040015100186,419
51,2012001507957,419
52,20120019007223,18
53,20120019007223,392
54,20120019007223,428
55,20120019007223,142
56,20120019007223,355
57,20120019007223,424
58,20120019007223,141
59,20120019007223,140
60,20120019007223,117
61,2022001137045,152
62,2022001137045,353
63,20160012278117,382
64,20160012278117,152
65,20160012278113,116
66,20160012278113,355
67,20160012278113,428
68,20160012278113,142
69,20160012278113,424
70,20160012278113,141
71,20160012278113,140
72,20160012278124,116
73,20160012278124,428
74,20160012278124,424
75,20160012278124,140
76,20160012278124,152
77,20160012278124,142
78,20160012278124,392
79,20040020006811,183
80,20040020006811,289
81,20040020006811,74
82,20040020006811,90
83,20040020006811,13
84,20040020006811,195
85,20040020006811,66
86,20040020006811,79
87,20040020006948,356
88,20040017059172,176
89,200400200061146,353
90,200400200061146,152
91,200400200061146,141
92,200400200061146,140
93,200400200061143,428
94,200400200061143,152
95,201300200246,423
96,201300200246,425
97,201300200246,428
98,201300200246,115
99,20040020006872,183
100,20040020006872,150
101,20040020006872,136
102,20040020006849,183
103,20040020006849,152
104,20040020006849,355
105,20040020006849,426
106,20040020006849,150
107,20040020006849,115
108,20040020006849,428
109,20040020006849,430
110,20040020006849,424
111,20040020006849,141
112,20040020006849,18
113,20040020006849,362
114,20040020006849,21
115,200400200061131,183
116,200400200061131,362
117,200400200071853,289
118,200400200071853,74
119,200400200071853,90
120,200400200071853,13
121,200400200071853,195
122,200400200071853,66
123,200400200071853,79
124,200400200071853,183
125,200400200071853,381
126,20120019007220,362
127,20120019007220,139
128,20120019007220,393
129,20120019007220,430
130,20120019007220,423
131,200400200071272,391
132,202000162521,419
133,20040020014468,419
134,200400200072156,351
135,200400200072156,353
136,200400200072156,140
137,200400200072156,141
138,200400200072156,424
139,200400200072156,355
140,200400200072156,142
141,200400200072156,21
142,200400200072156,428
143,200400200072156,77
144,20040020014676,21
145,20040020014676,140
146,20040020014676,152
147,20040020014676,150
148,20040020014676,392
149,20040020014676,111
150,20040020014676,428
151,20040020014676,18
152,20040020014676,355
153,20040020014676,141
154,20040020014676,430
155,20040020014676,142
156,20040020014676,143
157,20040020014676,362
158,20040020014676,424
159,20040020007783,183
160,200400200072215,183
161,200400200072215,18
162,200400200072215,150
163,200400200022362,18
164,200400200022362,138
165,200400200022362,392
166,200400200022362,382
167,20040020014640,151
168,20040020029213,152
169,2018001217411,152
170,200400200021860,354
171,200400200021860,150
172,200400200021860,16
173,200400200021860,226
174,200600200032406,428
175,200600200032406,425
176,200600200032406,423
177,200600200032406,142
178,200600200032406,362
179,200600200032406,424
180,200600200032406,140
181,200600200032406,20
182,20040017106325,362
183,20040017106325,428
184,20040017106325,426
185,20040017106325,116
186,20040017106325,276
187,20040016020168,276
188,20040016020168,116
189,20040016020168,428
190,20040016020168,426
191,20040016020168,362
192,2015001201134,391
193,20040015070409,151
194,20040015070409,428
195,20040015070409,362
196,20040020020889,362
197,20040020020889,428
198,20040020020889,151
199,20180012174192,151
200,20180012174192,362
201,20180012174192,428
202,200400200061515,428
203,200400200061515,151
204,200600200032448,151
205,200600200032448,428
206,200600200032448,392
207,200700170352290,392
208,200700170352290,362
209,200700170352290,428
210,200700170352290,383
211,200700170352290,151
212,200700170352225,151
213,200400200201188,151
214,200400200201019,428
215,200400200201019,151
216,200400200201019,392
217,20040020001405,151
218,200700170352176,151
219,200700170352176,428
220,200700170352176,362
221,20180012174175,151
222,20180012174175,362
223,20180012174175,428
224,20040020020913,151
225,200600200032527,151
226,20100016005370,151
227,20100016005370,428
228,20100016005370,392
229,200600200032289,151
230,20180012174176,151
231,20180012174176,428
232,20180012174176,392
233,20180012174379,151
234,20180012174379,428
235,20180012174379,362
236,20040017039537,383
237,20040017039537,151
238,20040017039537,428
239,20180012174230,362
240,20180012174230,428
241,20180012174230,151
242,20120019007226,151
243,20120019007226,362
244,20120019007226,428
245,200400200201009,151
246,200400200201009,428
247,200400200201009,362
248,200400200201009,392
249,2004001900274,419
250,20040017039523,428
251,20040017039523,151
252,20040017039523,383
253,20180012174100,151
254,20180012174100,383
255,200400200201030,362
256,200400200201030,151
257,200400200201030,428
258,20040020020760,362
259,20040020020760,428
260,20040020020760,151
261,200400200201029,362
262,200400200201029,392
263,200400200201029,428
264,200400200201029,151
265,20040020020998,353
266,20040020020998,383
267,20040020020998,151
268,20040017039565,151
269,20040017016325,151
270,20040017016325,383
271,20100016005325,151
272,20040020029103,151
273,20040020029103,151
274,20172880193145,424
275,20172880193145,21
276,20172880193145,356
277,20040017017924,151
278,200600200032824,183
279,200600200032824,362
280,200600200032824,426
281,200400200081854,158
282,20140017002215,151
283,20140017002397,151
284,20140017002396,151
285,202000124466,151
286,20100016005305,151
287,20100016005352,151
288,202000124461,428
289,202000124461,151
290,20040020029610,151
291,20040015191104,419
292,202200102222,151
293,202200102222,428
294,202200102222,392
295,2004001705986,151
296,20040020029556,151
297,201000190041071,353
298,20040017025649,151
299,20040017025649,428
300,2012001900739,151
301,20040017030136,419
302,2015001201256,61
303,2015001201256,353
304,20040015107749,351
305,20060020008579,150
306,20060020008579,355
307,20060020008579,428
308,20060020008579,392
309,20060020008579,142
310,20060020008579,430
311,20060020008579,18
312,20060020008579,424
313,20060020008579,140
314,20060020008579,141
315,20060020008579,362
316,20060020008579,195
317,20060020008994,183
318,20060020008994,150
319,20060020008994,362
320,200400170061217,150
321,200400170061217,362
322,200400170061217,183
323,200600200032064,150
324,200600200032064,362
325,200600200032064,18
326,200600200032064,183
327,20060020008820,362
328,20060020008820,150
329,20060020008820,183
330,20060020008820,74
331,20040017006792,392
332,20040017006792,150
333,20040017006792,141
334,20040017006792,119
335,20040017006792,18
336,20040017006792,428
337,200700170351411,276
338,200700170351411,426
339,200700170351411,428
340,200700170351411,424
341,20180003915105,356
342,20180003915105,362
343,20040017039540,151
344,20040017039540,428
345,20180012174267,151
346,2019000437329,428
347,2019000437329,20
348,2019000437329,423
349,2019000437329,425
350,2019000437329,362
351,2019000437329,424
352,200400170061426,152
353,20040020020446,351
354,2017278206878,362
355,2017278206878,428
356,2017278206878,19
357,2017278206878,423
358,20040017021647,423
359,20040017021647,362
360,20040017021647,428
361,20040017021648,423
